origin-time-utc,mag,mag-type,latitude,longitude,depth(km),region,a/m,time-updated,kml
08/02/2023 9:34,3.5,MLv,37.4963° N,37.2180° E,5,Pazarcik-Kahramanmaras,A,08/02/2023 9:37,Stations Event
08/02/2023 9:13,4.2,MLv,36.6156° N,36.4288° E,0,Kirikhan-Hatay,A,08/02/2023 9:16,Stations Event
08/02/2023 9:06,3.7,MLv,37.7737° N,37.7005° E,0,Golbasi-Adiyaman,A,08/02/2023 9:10,Stations Event
08/02/2023 8:45,4.3,MLv,37.9775° N,38.0878° E,96,Dogansehir-Malatya,A,08/02/2023 8:49,Stations Event
08/02/2023 8:03,3.7,MLv,37.9184° N,36.5359° E,0,Merkez-Kahramanmaras,A,08/02/2023 8:06,Stations Event
08/02/2023 7:48,4.8,mb,37.9308° N,36.6452° E,10,Merkez-Kahramanmaras,M,08/02/2023 8:34,Stations Event
08/02/2023 7:41,3.5,MLv,35.6942° N,35.2303° E,5,Jordan/Syria Region,M,08/02/2023 8:07,Stations Event
08/02/2023 7:33,3.4,MLv,38.1216° N,36.9955° E,0,Elbistan-Kahramanmaras,A,08/02/2023 7:36,Stations Event
08/02/2023 7:23,4.1,MLv,36.3831° N,36.0168° E,0,iskenderun-Hatay,A,08/02/2023 7:28,Stations Event
08/02/2023 7:20,4,MLv,36.7181° N,36.4764° E,10,Hassa-Hatay,A,08/02/2023 7:25,Stations Event
08/02/2023 7:19,3.9,MLv,37.5787° N,37.3700° E,6,Pazarcik-Kahramanmaras,A,08/02/2023 7:22,Stations Event
08/02/2023 7:09,4.1,MLv,38.2059° N,37.2556° E,0,Elbistan-Kahramanmaras,A,08/02/2023 7:13,Stations Event
08/02/2023 6:21,3.1,MLv,35.9196° N,27.4527° E,1,"Dodecanese Islands,  Greece",M,08/02/2023 7:18,Stations Event
08/02/2023 6:09,4.8,MLv,36.1798° N,35.9711° E,7,Samandag-Hatay,A,08/02/2023 6:12,Stations Event
08/02/2023 5:52,4.4,MLv,38.0685° N,36.7502° E,0,Goksun-Kahramanmaras,A,08/02/2023 5:56,Stations Event
08/02/2023 5:26,3.1,MLv,37.3416° N,36.8619° E,1,Turkoglu-Kahramanmaras,A,08/02/2023 5:29,Stations Event
08/02/2023 4:58,3.8,MLv,37.8968° N,37.5634° E,20,Nurhak-Kahramanmaras,M,08/02/2023 5:56,Stations Event
08/02/2023 4:45,2.3,MLv,37.8680° N,26.9147° E,2,"Dodecanese Islands,  Greece",M,08/02/2023 5:58,Stations Event
08/02/2023 3:43,4.1,MLv,37.9193° N,37.7032° E,4,Dogansehir-Malatya,A,08/02/2023 3:47,Stations Event
08/02/2023 3:39,4,MLv,37.5558° N,37.1860° E,0,Merkez-Kahramanmaras,A,08/02/2023 3:44,Stations Event
08/02/2023 3:24,3.2,MLv,38.1281° N,36.9781° E,0,Goksun-Kahramanmaras,A,08/02/2023 3:28,Stations Event
08/02/2023 3:20,4,MLv,38.0850° N,36.6293° E,0,Goksun-Kahramanmaras,A,08/02/2023 3:24,Stations Event
08/02/2023 3:01,4.2,MLv,37.1466° N,36.7145° E,3,Nurdagi-Gaziantep,A,08/02/2023 3:05,Stations Event
08/02/2023 2:55,3.9,MLv,35.9161° N,36.6913° E,6,Jordan/Syria Region,M,08/02/2023 8:32,Stations Event
08/02/2023 2:29,3.9,MLv,38.0007° N,37.5849° E,5,Nurhak-Kahramanmaras,M,08/02/2023 6:30,Stations Event
08/02/2023 2:25,4.4,MLv,37.8680° N,38.0475° E,0,Merkez-Adiyaman,A,08/02/2023 2:42,Stations Event
08/02/2023 2:21,3.8,MLv,36.0388° N,36.1633° E,2,Merkez-Hatay,A,08/02/2023 2:25,Stations Event
08/02/2023 1:49,3.4,MLv,38.1143° N,36.8381° E,0,Goksun-Kahramanmaras,A,08/02/2023 1:52,Stations Event
08/02/2023 1:41,3.8,MLv,38.0219° N,37.8534° E,24,Dogansehir-Malatya,A,08/02/2023 1:45,Stations Event
08/02/2023 1:36,3.5,MLv,38.2086° N,36.3629° E,6,Tufanbeyli-Adana,A,08/02/2023 1:40,Stations Event
08/02/2023 0:48,2.9,MLv,38.1728° N,37.0041° E,3,Afsin-Kahramanmaras,M,08/02/2023 8:01,Stations Event
08/02/2023 0:43,3.9,MLv,38.5336° N,39.7353° E,4,Maden-Elazig,M,08/02/2023 7:56,Stations Event
08/02/2023 0:07,3.2,MLv,38.0676° N,36.5442° E,0,Goksun-Kahramanmaras,A,08/02/2023 0:10,Stations Event
07/02/2023 23:38,3.9,MLv,35.9798° N,36.0166° E,5,Yayladagi-Hatay,M,08/02/2023 8:36,Stations Event
07/02/2023 23:25,4.1,MLv,35.7935° N,36.1890° E,34,Jordan/Syria Region,A,07/02/2023 23:29,Stations Event
07/02/2023 23:20,3.6,MLv,36.6833° N,36.4929° E,7,Hassa-Hatay,A,07/02/2023 23:24,Stations Event
07/02/2023 23:13,4.5,MLv,36.0139° N,35.9649° E,83,Turkey,A,07/02/2023 23:33,Stations Event
07/02/2023 23:08,3.9,MLv,38.1693° N,36.6678° E,0,Goksun-Kahramanmaras,A,07/02/2023 23:12,Stations Event
07/02/2023 22:45,4,MLv,38.0621° N,36.4838° E,0,Goksun-Kahramanmaras,A,07/02/2023 22:49,Stations Event
07/02/2023 22:32,3.9,MLv,38.0411° N,36.5048° E,0,Goksun-Kahramanmaras,A,07/02/2023 22:35,Stations Event
07/02/2023 22:30,3.7,MLv,38.0594° N,37.7628° E,0,Dogansehir-Malatya,A,07/02/2023 22:34,Stations Event
07/02/2023 22:18,3.6,MLv,38.0804° N,37.9376° E,1,Dogansehir-Malatya,A,07/02/2023 22:21,Stations Event
07/02/2023 22:10,3.7,MLv,38.0914° N,36.6595° E,0,Goksun-Kahramanmaras,A,07/02/2023 22:13,Stations Event
07/02/2023 22:07,4,MLv,38.0740° N,36.5524° E,0,Goksun-Kahramanmaras,A,07/02/2023 22:12,Stations Event
07/02/2023 21:58,3.6,MLv,37.4213° N,36.9818° E,3,Merkez-Kahramanmaras,A,07/02/2023 22:02,Stations Event
07/02/2023 21:53,3.6,MLv,38.0594° N,36.4883° E,0,Goksun-Kahramanmaras,A,07/02/2023 21:57,Stations Event
07/02/2023 21:35,3.5,MLv,38.0942° N,36.6458° E,0,Goksun-Kahramanmaras,A,07/02/2023 21:40,Stations Event
07/02/2023 21:21,5.3,MLv,37.9852° N,38.7177° E,12,Sincik-Adiyaman,A,07/02/2023 21:41,Stations Event
07/02/2023 21:16,2.5,MLv,40.8219° N,28.7549° E,11,Marmara Denizi (Dogu),A,07/02/2023 21:19,Stations Event
07/02/2023 21:04,3.7,MLv,37.5311° N,37.2894° E,0,Pazarcik-Kahramanmaras,A,07/02/2023 21:08,Stations Event
07/02/2023 21:00,4,MLv,37.8726° N,36.6403° E,0,Merkez-Kahramanmaras,A,07/02/2023 21:04,Stations Event
07/02/2023 20:52,3.3,MLv,38.0003° N,36.6403° E,5,Goksun-Kahramanmaras,A,07/02/2023 20:55,Stations Event
07/02/2023 20:50,3.2,MLv,37.8708° N,36.6861° E,0,Merkez-Kahramanmaras,A,07/02/2023 20:53,Stations Event
07/02/2023 20:39,3.8,MLv,38.0704° N,37.0432° E,0,Ekinozu-Kahramanmaras,A,07/02/2023 20:43,Stations Event
07/02/2023 20:30,3.9,MLv,38.0978° N,36.6623° E,0,Goksun-Kahramanmaras,A,07/02/2023 20:34,Stations Event
07/02/2023 20:09,3.7,MLv,36.3885° N,36.2604° E,0,Merkez-Hatay,A,07/02/2023 20:13,Stations Event
07/02/2023 20:01,3.2,MLv,38.0960° N,36.6257° E,0,Goksun-Kahramanmaras,A,07/02/2023 20:04,Stations Event
07/02/2023 19:54,4.7,MLv,38.7030° N,39.9481° E,0,Palu-Elazig,A,07/02/2023 19:58,Stations Event
07/02/2023 19:44,3.5,MLv,38.1125° N,37.7866° E,0,Dogansehir-Malatya,A,07/02/2023 19:48,Stations Event
07/02/2023 19:33,3.7,MLv,38.1097° N,36.5094° E,1,Goksun-Kahramanmaras,A,07/02/2023 19:37,Stations Event
07/02/2023 19:30,3.4,MLv,38.5089° N,39.7504° E,3,Maden-Elazig,A,07/02/2023 19:34,Stations Event
07/02/2023 19:24,3.8,MLv,38.0988° N,37.7985° E,0,Dogansehir-Malatya,A,07/02/2023 19:28,Stations Event
07/02/2023 19:13,4.4,MLv,38.0905° N,36.9077° E,0,Goksun-Kahramanmaras,A,07/02/2023 19:18,Stations Event
07/02/2023 18:52,3.3,MLv,38.2132° N,37.0358° E,0,Afsin-Kahramanmaras,A,07/02/2023 18:56,Stations Event
07/02/2023 18:43,3.5,MLv,37.4442° N,34.5877° E,0,Ulukisla-Nigde,A,07/02/2023 18:45,Stations Event
